Test,Column,A,B,C,D,E
0.112136809672225,0.607879788829424,0.973493034134154,0.31221755810011,0.336631618936978,0.523206714672196,0.544206997520714
0.512158757831922,0.896116000459073,0.796409175467288,0.778866354342838,0.620905606837561,0.928956411721387,0.816685917160862
0.238188014037154,0.825306296432147,0.445370037142886,0.990825857742461,0.274606784705484,0.548553469042468,0.0349537744261146
0.539178727393637,0.556644846026572,0.620041793722875,0.996085954851998,0.595440825888985,0.288001407138464,0.754118796111403
0.281070147323168,0.35163632963891,0.120861008121159,0.327094207391167,0.304531260161066,0.133625947709324,0.925360203953573
0.749411522617335,0.0978865048990589,0.463284649312027,0.750963986677927,0.091148396534429,0.094465155698772,0.307642098313786
0.847315082076008,0.0424188638750809,0.861056169677643,0.960908416226543,0.673547321008891,0.221428479029291,0.242820661954008
0.0886461791154091,0.774260412444181,0.638980335668326,0.630471944974472,0.0168554290533531,0.387118148382123,0.0354637373928646
0.647642402626001,0.11425851426441,0.634470127200521,0.193991153246346,0.258467539410799,0.122315887979796,0.884664305953801
0.611362712168809,0.285490680444323,0.923036482272225,0.0487489401337761,0.617430326263955,0.129935932841907,0.641552942429959
0.438610374202219,0.282848520650214,0.581860599489986,0.629122952734729,0.71742872921179,0.767127402342995,0.638996452498053
0.206790142842583,0.622423435667359,0.971941439802547,0.643832700711086,0.641314555873816,0.499820026876292,0.649819400532777
0.077087592572611,0.690009810345443,0.364179558372175,0.054285815590834,0.648687658019316,0.207324056479862,0.629703031299891
0.615702523204916,0.887733352504773,0.244756341639656,0.270472220467604,0.598545178144951,0.203399978044628,0.626921243981018
0.129283267696496,0.948609357197975,0.444984466764167,0.0781114819198526,0.686744818482711,0.798091245224134,0.245038516892848
0.773211540211898,0.0135553574147343,0.272325721486688,0.607180112137512,0.912358711701278,0.765098237213171,0.651714879029923
0.592870489224008,0.0281114502101122,0.0414735127455907,0.326151624135418,0.788049482017348,0.611812978206563,0.639266128584788
0.274571440169579,0.229101851851516,0.78107840758448,0.096972327238335,0.320316688755827,0.394137192701377,0.606610647226197
0.784732078700021,0.424894487726868,0.780218407247682,0.750924898508261,0.188960364848335,0.156878636407532,0.222712037111123
0.934931297813872,0.00577321253929652,0.218657039307375,0.464757450554551,0.881688817071193,0.541177002872423,0.313377338013841
0.724180066398305,0.830166051932159,0.322538296994129,0.108952077394877,0.876757704951262,0.537741370442942,0.181683546025124
0.166846337401542,0.238046972809436,0.150766928496205,0.603379459320418,0.568370199170606,0.329451385200846,0.119580862336067
0.556204797323102,0.673305272862051,0.62717257817948,0.442096612172072,0.303627155640788,0.0199079261371462,0.62593769467395
0.58284144232824,0.942317825248898,0.697919768564028,0.578081765526761,0.230656689796473,0.0543665339856454,0.701292570898462
0.173308350611048,0.487948322885071,0.461160440096073,0.175008161009296,0.573508770333631,0.571069664521612,0.37633323601657
0.12541272560476,0.0394279759374868,0.00585950319958428,0.555472735748206,0.580581407087258,0.384843199314753,0.388477554576568
0.521360893831006,0.936939187702309,0.555633266609818,0.571067682535162,0.00873963572427616,0.178169878567827,0.00702693311319891
0.122549771648143,0.721086310901503,0.0074102315943203,0.0861295009752704,0.0315633197211288,0.758866812936191,0.0943253352095587
0.426540571444993,0.509550867339171,0.0976112783672415,0.811414090182192,0.667533369857166,0.106071436380129,0.751842959011558
0.620420584436897,0.680443867028384,0.949703840614949,0.875199714714761,0.966232355233779,0.592648743822555,0.0700238463758172
0.737800464741219,0.410011318066072,0.219706854120581,0.1283646448509,0.065878449872725,0.851368195917348,0.535407603762931
0.44326282699397,0.448004588967571,0.488723866781974,0.160576959846563,0.339023586788079,0.495330649228982,0.589590803577844
0.564900662460899,0.545649751411968,0.620951054859019,0.390651605116162,0.953596841738323,0.124714295702459,0.221821141153737
0.684914536661759,0.898935798085496,0.345655872885641,0.0678595275325361,0.188411283468489,0.283737659966822,0.651404898924724
0.961244345994785,0.339766854759809,0.0549086646292492,0.134766141539637,0.417795048182767,0.514772992079875,0.255984943204292
0.171386569838948,0.0837900642487075,0.525224660083056,0.345070396972393,0.64411622451066,0.885844592374885,0.498595532812047
0.758752985366991,0.416130499727554,0.795189694100658,0.0733590695745068,0.199599008453067,0.53801104562943,0.213834605257451
0.595120044156528,0.732978428888068,0.460057793458828,0.942318519218147,0.0642863206962522,0.776687589993997,0.14125621324669
0.874496264079368,0.747796841852446,0.377812967213077,0.641634212202888,0.48074524818878,0.877915864761397,0.0762892725904131
0.774564476346945,0.309108274265063,0.746614480871382,0.847879321811329,0.421557762453003,0.641436414001053,0.559938522068363
0.143841835760863,0.0159588261563979,0.90995032229309,0.410570509651953,0.674705014812243,0.739534812106395,0.344664154101993
0.394081858330001,0.843616838486028,0.252603876835169,0.333758417576122,0.720506362797406,0.415078076464146,0.462592191533065
0.160756696985198,0.618015775921703,0.838228301446028,0.895683124324126,0.869985238224641,0.918976258471625,0.200099004159123
0.936522413749835,0.498353601320694,0.76709591313958,0.699031156816838,0.685465027273003,0.230906929875454,0.273989921489558
